Step: 100000, Array Size: 1000000
Step: 200000, Array Size: 2000000
Step: 300000, Array Size: 3000000
Step: 400000, Array Size: 4000000
Step: 500000, Array Size: 5000000
Step: 600000, Array Size: 6000000
Step: 700000, Array Size: 7000000
Step: 800000, Array Size: 8000000
Step: 900000, Array Size: 9000000
Step: 1000000, Array Size: 10000000
Step: 1100000, Array Size: 11000000
Step: 1200000, Array Size: 12000000
Step: 1300000, Array Size: 13000000
Step: 1400000, Array Size: 14000000
Step: 1500000, Array Size: 15000000
Step: 1600000, Array Size: 16000000
Step: 1700000, Array Size: 17000000
Step: 1800000, Array Size: 18000000
Step: 1900000, Array Size: 19000000
Step: 2000000, Array Size: 20000000
Step: 2100000, Array Size: 21000000
Step: 2200000, Array Size: 22000000
Step: 2300000, Array Size: 23000000
Step: 2400000, Array Size: 24000000
Step: 2500000, Array Size: 25000000
Step: 2600000, Array Size: 26000000
Step: 2700000, Array Size: 27000000
Step: 2800000, Array Size: 28000000
Step: 2900000, Array Size: 29000000
Step: 3000000, Array Size: 30000000
Step: 3100000, Array Size: 31000000
Step: 3200000, Array Size: 32000000
Step: 3300000, Array Size: 33000000
Step: 3400000, Array Size: 34000000
Step: 3500000, Array Size: 35000000
Step: 3600000, Array Size: 36000000
Step: 3700000, Array Size: 37000000
Step: 3800000, Array Size: 38000000
Step: 3900000, Array Size: 39000000
Step: 4000000, Array Size: 40000000
Step: 4100000, Array Size: 41000000
Step: 4200000, Array Size: 42000000
Step: 4300000, Array Size: 43000000
Step: 4400000, Array Size: 44000000
Step: 4500000, Array Size: 45000000
Step: 4600000, Array Size: 46000000
Step: 4700000, Array Size: 47000000
Step: 4800000, Array Size: 48000000
Step: 4900000, Array Size: 49000000
Step: 5000000, Array Size: 50000000
