Step: 100000, Array Size: 1000000
Step: 200000, Array Size: 2000000
Step: 300000, Array Size: 3000000
Step: 400000, Array Size: 4000000
Step: 500000, Array Size: 5000000
Step: 600000, Array Size: 6000000
Step: 700000, Array Size: 7000000
Step: 800000, Array Size: 8000000
Step: 900000, Array Size: 9000000
Step: 1000000, Array Size: 10000000
Step: 1100000, Array Size: 11000000
Step: 1200000, Array Size: 12000000
Step: 1300000, Array Size: 13000000
Step: 1400000, Array Size: 14000000
Step: 1500000, Array Size: 15000000
Step: 1600000, Array Size: 16000000
Step: 1700000, Array Size: 17000000
Step: 1800000, Array Size: 18000000
Step: 1900000, Array Size: 19000000
Step: 2000000, Array Size: 20000000
Step: 2100000, Array Size: 21000000
Step: 2200000, Array Size: 22000000
